,,,"Collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, U of Denver). ",,,,,,
,,,"With thanks to Rivera Sun, Sarah Syverson, & many others for assistance compiling sources.",,,,,,
,,,"To submit additional information, please use this form: https://goo.gl/forms/PmLax1SUfUnQ0ftd2",,,,,,
,,,,,,,,,
,State/Territory,Country,Estimate1 (low),Estimate2 (high),Estimate3,Not 1/21,Source1,Source2,Source3
"Flagstaff, AZ",AZ,US,1200,1200,,,http://www.azcentral.com/story/news/local/phoenix/2017/01/21/phoenix-womens-march-sister-washington-capitol/96849890/,,
"Florence, OR",OR,US,300,300,,,https://twitter.com/texdakota/status/823256159989604353,,
"Floyd, VA",VA,US,200,200,,,FB,,
"Forks, WA",WA,US,45,45,,,FB,,
"Fort Atkinson, MN",MN,US,200,200,,,http://www.dailyunion.com/multimedia/collection_ef47d9e2-e016-11e6-acfe-3fc05da771cb.html,,
"Fort Bragg, CA",CA,US,2500,2800,,,https://vimeo.com/200537363,"KOZT radio report that they counted over 2,800 people",https://www.facebook.com/FortBraggAdvocateNews/posts/1422203641137859
"Fort Sumner, NM",NM,US,,,,,,,
"Fort Wayne, IN",IN,US,1000,1000,,,http://www.journalgazette.net/news/local/Thousand-drawn-to-local-protest-17399065,,
"Fort Worth, TX",TX,US,5000,6000,9000,,https://twitter.com/JillianEMcClure/status/822928537627795457,twitter,
"Francestown, NH",NH,US,134,134,,,http://www.unionleader.com/Francestown-holds-peaceful-womens-march,,
"Frederick, MD",MD,US,"1,000","1,000",,,http://www.fredericknewspost.com/news/politics_and_government/hundreds-descend-on-downtown-frederick-for-sister-march/article_2445f10a-8356-5787-ade1-95e208c97c9b.html,,
"Fredonia, NY",NY,US,70,70,,,http://chautauquatoday.com/news/details.cfm?clientid=25&id=234985#.WIT2YbYrLVo,,
"Fresno, CA",CA,US,"2,000","2,000",,,http://www.fresnobee.com/news/local/article128014199.html#storylink=cpy,,
"Friday Harbor, WA",WA,US,"1,500","1,500",,,http://sanjuanislander.com/photos/event-photos/slideshow-jan-21-women-s-march-in-friday-harbor,,
"Gainesville, FL",FL,US,"1,500","1,500",,,http://www.gainesville.com/news/20170121/about-1500-join-womens-march-in-gainesville,,
"Galesburg, IL",IL,US,100,500,,,http://tspr.org/post/western-illinois-march-women,http://www.galesburg.com/news/20170121/nearly-500-march-in-solidarity-around-downtown-galesburg,
"Gila, NM",NM,US,1,1,,,FB,,
"Glens Falls, NY",NY,US,"1,000","1,000",,,FB,,
"Glenwood Springs, CO",CO,US,100,100,,,https://twitter.com/SarahGoTrillIum/status/823018327316566016,,
"Gold Canyon, AZ",AZ,US,,,,,,,
"Gouldsboro, ME",ME,US,25,45,,,https://twitter.com/UpFrontSoul/status/823162970633015300,https://www.facebook.com/dorcaslibrary,
"Grand Forks, ND",ND,US,304,304,,,http://www.grandforksherald.com/news/4203526-hundreds-attend-grand-forks-event-inspired-national-womens-march,,
"Grand Junction, CO",CO,US,"4,500","5,000",,,FB (from on-site source),,
"Grand Marais, MN",MN,US,100,100,,,https://twitter.com/bryanhansel/status/823244421185630208,,
"Grand Rapids, MI",MI,US,300,300,,,http://woodtv.com/2017/01/21/hundreds-rally-in-grand-rapids-for-womens-rights/,,
"Grants Pass, OR",OR,US,1,1,,,FB,,
"Green Bay, WI",WI,US,200,200,,,http://www.greenbaypressgazette.com/story/news/2017/01/21/green-bay-womens-march/96782676/?hootPostID=6979db0a7bd407815831ee0e0e039277,,
"Green Valley, AZ",AZ,US,400,400,,,Green Valley News,,
"Greenfield, MA",MA,US,"1,000","2,000",,,FB,http://www.recorder.com/Thousands-fill-Town-Common-for-women-s-rally-7616382,
"Greensboro, NC",NC,US,"3,000","6,000",,,http://myfox8.com/2017/01/21/2800-people-attend-womens-march-in-greensboro/,,
"Greenville, SC",SC,US,"2,000","2,000",,,http://www.greenvilleonline.com/story/news/2017/01/21/womens-rally-fills-falls-park-amid-worldwide-protests/96889616/,,
"Greenwood, IN",IN,US,,,,,,,
"Gross Pointe, MI",MI,US,"1,143",1300,,,https://www.facebook.com/photo.php?fbid=10210356424360030&set=a.3839839387551.2159182.1025029153&type=3&theater,Low estimate is from a headcount at the startpoint. Additional marches joined along route. Onsite eyewitness.,
"Gualala, CA",CA,US,203,300,,,onsite source via google form,https://www.facebook.com/eddie.berger.3/videos/1314134975318501/,
"Gulfport, MS",MS,US,300,300,,,FB,,
"Gustavus, AK",AK,US,105,105,,,FB,,
"Hagatna, Guam",GM,US,150,150,,,FB,,
"Haines, AK",AK,US,150,170,,,onsite source via FB,https://www.facebook.com/vivien.low.1/posts/10154931219449431,
"Halfway, OR",OR,US,31,31,,,onsite sources via google form w photos showing headcount,,
"Harrisburg, PA",PA,US,"1,100","1,100",,,http://www.pennlive.com/news/2017/01/harrisburg_version_of_womens_m.html#incart_river_mobile_home_pop,,
"Harrisville, MI",MI,US,5,5,,,https://twitter.com/nowosadwoman/status/823223865086267392,,
"Hartford, CT",CT,US,"10,000","10,000",,,http://www.courant.com/news/connecticut/hc-hartford-inauguration-rally-20170121-story.html,,
"Hattiesburg, MS",MS,US,,,,,,,
"Helena, AR",AR,US,2,2,,,FB,,
"Helena, MT",MT,US,"10,000","10,000",,,http://helenair.com/news/local/montana-women-s-march-draws-an-estimated/article_d04ff8b8-4f77-5e8f-b683-2941b39d4276.html,http://www.bozemandailychronicle.com/news/politics/thousands-rally-in-helena-for-human-rights-equality/article_11b79d6b-d5a9-519f-a51b-1dec07278c95.html,
"Hemet, CA",CA,US,98,98,,,onsite headcount via sign-in sheets,,
"Hilo, HI",HI,US,"1,500",2200,,,http://www.hawaiitribune-herald.com/news/local-news/heeding-rallying-call-more-1000-attend-hilo-women-s-march,Big Island Now,
"Hillsborough, NC",NC,US,200,200,,,Herald Sun,,
"Homer, AK",AK,US,900,900,,,FB,,
Honolulu (Oahu) HI,HI,US,"3,000","8,000",,,http://www.staradvertiser.com/2017/01/21/breaking-news/thousands-march-around-state-capitol-in-show-of-solidarity/,http://www.kitv.com/story/34314442/close-to-8000-come-out-to-womens-march-in-honolulu,
"Hood River, OR",OR,US,50,50,,,Headcount based on photos from event on FB,,
"Houghton, MI",MI,US,500,500,,,http://www.uppermichiganssource.com/content/news/Houghton-marchers-for-womens-rights-411431685.html,,
"Houston, TX",TX,US,"20,000","22,000",,,http://www.chron.com/news/houston-texas/article/Tweets-from-the-Houston-Women-s-march-10873983.php,,
"Hudson, NY",NY,US,"2,000","3,000",,,http://m.registerstar.com/news/article_d498a278-e054-11e6-a01b-dfe6701814de.html?mode=jqm,https://twitter.com/imbycentral/status/823216590472744961,
"Huntsville, AL",AL,US,80,110,,,onsite headcount per google form,https://www.facebook.com/events/302463503484733/permalink/304754253255658/,
"Idaho Falls, ID",ID,US,500,500,,,http://www.eastidahonews.com/2017/01/500-people-attend-womens-march-idaho-falls/,,
"Indiana, PA",PA,US,100,200,,,http://wdadradio.com/downtown-indiana-site-of-march-connected-to-dc-march-for-women/,https://twitter.com/PghQuilter/status/823171066864476160,
